product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
0,145815588.0,145884450.0,738,5,2611,5343,135,140,104,8,49,10002,9066,0,4
5,145815594.0,145924158.0,159,4,2292,13125,39,127,32,14,76,10001,9067,0,4
5,145815594.0,146239284.0,210,9,1577,32638,39,127,32,14,76,10000,9068,0,4
4,145815594.0,145945476.0,421,7,810,40437,171,168,42,12,57,9999,56,1,2
0,145815594.0,145186728.0,959,4,2505,13662,128,183,62,8,50,9998,9069,0,4
0,145815594.0,145192416.0,784,9,2495,24828,135,140,104,8,49,9997,9070,0,4
0,145815600.0,145884450.0,738,5,2611,5341,135,140,104,8,49,9996,9071,0,4
5,145815600.0,145919010.0,266,9,3109,39258,165,46,56,14,33,9995,9072,0,4
5,145815600.0,145189272.0,605,7,2813,21991,39,127,32,14,76,9994,9073,0,4
0,145815600.0,146503212.0,1013,9,366,9152,128,183,62,8,50,9993,9074,0,4
0,145815606.0,145979292.0,665,9,1395,22571,135,140,104,8,49,9992,9075,0,4
0,145815606.0,146505780.0,787,9,2780,24829,135,140,104,8,49,9991,9076,0,4
5,145815612.0,146239212.0,686,4,1879,22903,165,46,56,14,33,9990,9077,0,4
5,145815612.0,146506266.0,650,4,1627,3778,39,127,32,14,76,9989,9078,0,4
0,145815612.0,145191030.0,731,5,3575,5588,135,140,104,8,49,9988,9079,0,4
5,145815612.0,145917954.0,925,5,2712,38448,39,127,32,14,76,9987,9080,0,4
4,145815612.0,145822020.0,123,0,0,39451,171,168,42,12,57,9986,42,1,2
0,145815612.0,146238972.0,892,9,276,34728,128,183,62,8,50,9985,9081,0,4
0,145815612.0,145936980.0,804,4,372,11133,135,140,104,8,49,9984,9082,0,4
5,145815612.0,145936872.0,254,9,2211,33620,165,46,56,14,33,9983,9083,0,4
0,145815612.0,145976388.0,987,4,2613,7988,128,183,62,8,50,9982,9084,0,4
0,145815618.0,146505396.0,730,9,1654,6770,135,140,104,8,49,9981,9085,0,4
0,145815618.0,146505750.0,781,9,3709,24854,135,140,104,8,49,9980,9086,0,4
4,145815618.0,145815618.0,566,6,0,41787,171,168,42,12,57,10061,56,1,2
0,145815624.0,146502120.0,1017,9,304,9253,128,183,62,8,50,10060,9087,0,4
0,145815624.0,146236776.0,673,5,2240,22629,135,140,104,8,49,10059,9088,0,4
5,145815624.0,146505972.0,111,4,294,498,39,127,32,14,76,10058,9090,0,4
0,145815624.0,146504634.0,850,4,974,9844,135,140,104,8,49,10057,9120,0,4
5,145815624.0,145936884.0,248,9,2123,34162,165,46,56,14,33,10056,9148,0,4
0,145815630.0,145193796.0,730,7,3204,6794,135,140,104,8,49,10055,9121,0,4
5,145815630.0,145192086.0,50,9,1376,27069,39,127,32,14,76,10054,9151,0,4
0,145815630.0,145925634.0,822,9,2389,24878,135,140,104,8,49,10053,9152,0,4
5,145815630.0,146506488.0,656,9,2383,23522,39,127,32,14,76,10052,9153,0,4
0,145815630.0,146505234.0,872,1,258,1577,128,183,62,8,50,10051,9154,0,4
1,145815630.0,145191942.0,909,5,1887,29197,135,140,104,8,49,10050,9155,0,4
0,145815630.0,146502120.0,1017,9,304,9005,128,183,62,8,50,10049,9156,0,4
0,145815630.0,145979298.0,729,5,3012,5669,135,140,104,8,49,10048,9157,0,4
