ID;Ликвидность активов;Рентабельность активов;Доходность активов;Автономность;Оборачиваемость активов;Банкрот
ID028;1;-0.470337907;-0.470247169;-0.300781647;1.202453542;1
ID029;0.163527751;-0.561045311;-0.561045311;-0.476802522;0.099125465;1
ID030;0.977076923;0.04432967;0.055406593;0.247207489;2.644571429;1
ID031;1;0.004658191;0.005929284;0.009024895;1.07297337;1
ID032;1;4.71403E-05;5.89254E-05;0.000106077;0.81265247;1
ID033;0.912080848;-0.000415724;-0.000415724;0.520785265;0.000591442;1
ID034;0.145132927;-0.046840279;-0.049733826;-0.170922273;0.58045977;1
ID035;0.298803271;-0.126630439;-0.15249009;0.154144908;0.022426351;1
ID036;0.667783784;-0.076325855;-0.064799505;0;1.823229385;1
ID037;0.995057794;0.079338609;0.108276169;0.293114136;4.105906341;1
ID038;0.977686561;0.010621741;0.017527819;0.013565739;2.439284881;1
ID039;1;-0.016031636;-0.016031636;-0.015721157;3.434184198;1
ID040;1;0.000905696;0.001128148;0.001065725;1.337777072;1
ID041;0.920378255;0.039627486;0.050853944;0.218463392;2.40954249;1
ID042;0.976777741;-0.078986533;-0.067543287;-0.135336812;17.89133907;1
ID043;0.991766519;0.009230085;0.014757404;-0.006806917;3.744846408;1
ID044;0.184396491;-0.176259402;-0.176240456;-0.055878513;0.167023473;1
ID045;0.293097326;0.360381459;0.467813461;0.476437279;6.040026995;1
ID046;0.450975323;-0.148126537;-0.161369663;0.601729604;0.01175115;1
ID047;0.255341317;-1.451330579;-1.451330579;-0.834355654;0.113935843;1
ID048;0.974804669;-0.007060866;-0.006867946;0.103976317;1.136259284;1
ID049;0.467697571;-0.558125214;-0.68972973;-0.683416802;0.511693466;1
ID050;0.954886163;-0.183485189;-0.18377128;-0.237511946;0.930873586;1
ID051;0.958600249;0.002724926;0.004047551;0.022052117;0.753545591;1
ID052;0.935239193;-0.015872672;-0.015961937;-0.180108339;0;1
ID053;1;0.000275681;0.000345572;0.000330151;0.130140869;1
ID054;0.759716692;0.000168254;0.000248376;0.233432157;0.027409443;1
ID055;0.9822399;0.005444382;0.006805477;0.007307531;0.934058719;1
ID056;0.998541361;0.01191486;0.016322486;0.012085602;1.742928112;1
ID057;0.99154893;-0.000660978;-0.00044852;-0.004219459;0.283453136;1
ID058;0.929610228;0.002363977;0.002950243;0.015556879;1.043137848;1
ID059;0.876781653;0.025416983;0.03176649;0.11881587;1.479340409;1
ID060;0.999930853;0.00929332;0.012529387;0.018034887;2.130922417;1
ID061;0.566209937;-0.019185053;-0.019089486;1.238860658;0.396483138;1
ID062;0.637065167;-0.019698755;-0.019698755;0.916610411;0;1
ID063;0.909701757;-0.047453305;-0.057048594;0.042826635;1.734263069;0
ID064;0.992364731;0.00575868;0.007380706;0.04259786;3.957900766;0
ID065;0.069898709;0.037606201;0.05515939;3.262077704;0.496497318;0
ID066;0.844149553;-0.026455026;-0.027700595;3.701351351;1.36137992;0
ID067;0.756077948;0.066026483;0.093380599;0.816906724;2.232228536;0
ID068;0.591255974;-0.217030928;-0.268074419;0.127774542;0.245631948;0
ID069;0.699797031;0.037638664;0.045910617;0.027357018;2.357921544;0
ID070;0.908587525;0.101586825;0.127472747;1.007092436;3.852458579;0
ID071;0.727917305;-0.242939509;-0.242049144;4.093015539;1.060175684;0
ID072;0.069490061;0.041621051;0.052242389;8.294002142;0.354672045;0
ID073;0.545175575;0.024247339;0.037118303;0.090896476;1.423938881;0
ID074;0.816350543;-0.038130931;-0.038011091;4.265848201;1.409613352;0
ID075;0.620645471;0.024915913;0.024241878;0.971035081;1.228517658;0
ID076;0.396552298;0.016966276;0.029186593;0.702642571;2.750772088;0
ID077;0.594924571;-0.292444836;-0.366533054;0.697877818;1.842418634;0
ID078;0.559825739;0.112135842;0.144803383;1.652307588;2.373450696;0
ID079;0.344551008;-0.039484364;-0.035635253;0.001182617;1.473825188;0
ID080;0.792479173;-0.072431305;-0.088709554;0.130441569;2.008330904;0
ID081;0.792479173;-0.072431305;-0.088709554;0.130441569;2.008330904;0
ID082;0.246357985;-0.294775912;-0.294775912;-0.5559941;0.076236429;0
ID083;0.652602976;-0.050119977;0.003945484;0.221608157;3.189610858;0
ID084;0.427164544;0.119921489;0.150584715;8.944853945;2.059768585;0
ID085;0.653986151;-0.181249335;-0.209714892;0.006913314;1.52380877;0
ID086;0.949105731;0.022764327;0.036512958;8.078758423;1.514186641;0
ID087;0.389681635;-0.003269904;0.004254481;0.000138692;0.460474095;0
ID088;0.590472071;-0.361081726;-0.361081726;-0.507365178;2.044179617;0
ID089;0.828919661;-0.044265698;-0.051312196;8.239807494;0.552603186;0
ID090;0.774013586;-0.375101193;-0.442891838;0.529693641;0.732832354;0
ID091;0.664599653;0.000416662;0.005371967;0.145714091;0.87933164;0
ID092;0.621326918;0.025654855;0.041327432;1.559293315;1.778389423;0
ID093;0.987535234;0.097615637;0.124081604;0.479372458;2.105644379;0
ID094;0.678935408;0.027386563;0.02026081;-0.084880748;0.024854724;0
ID095;0.564059066;0.072298639;0.088186478;0.588720441;2.056402644;0
ID096;0.711075053;0.089955449;0.105085614;1.997312287;1.594958509;0
ID097;0.775804292;0.145140931;0.185969027;1.775250729;3.954872524;0
ID098;0.660212477;0.178129951;0.21582166;0.881388343;0.352682653;0
ID099;0.848183387;-0.020431225;-0.022272558;0.227215601;0.596934812;0
ID100;0.605369347;0.092512211;0.115888389;4.084156815;1.51857513;0
ID101;0.670948673;-0.011412998;-0.025532105;2.034555726;0.664730381;0
ID102;0.971496918;0.006465345;0.009262442;0.1331103;0.588492346;0
ID103;0.823787965;0.115468484;0.162028436;2.899710189;1.551752293;0
ID104;0.671285004;-0.01010415;-0.004152992;0.930449197;1.083920284;0
ID105;0.194420462;-0.001017784;-0.00066802;0.002596877;0.425953818;0
ID106;0.760947318;0.08888998;0.113891382;0.393098597;2.332304758;0
ID107;0.49067099;0.0706866;0.077109322;1.32207064;1.065721333;0
ID108;0.878659517;0.00432529;0.007310098;0.282462695;0.65844504;0
ID109;0.494470807;0.016235419;0.019494841;33.64784467;0.512397629;0
ID110;0.592871434;-0.338780372;-0.412066752;-0.349157365;3.551076108;0
ID111;0.748093069;-0.018682477;-0.022428944;0.196167948;1.430228758;0
ID112;0.969889695;-0.865653052;-0.861876843;-0.523958951;0.173361158;0
ID113;0.636852352;-0.090749231;-0.103686491;1.217255688;1.073629341;0
ID114;0.695842704;0.20598378;0.260144483;21.42206601;1.275274313;0
ID115;0.705958728;0.155061211;0.19275623;17.14526159;0.800273478;0
ID116;0.915268819;0.00436712;0.0054589;0.071084837;1.157835156;0
ID117;0.417116694;-0.065986315;-0.065818603;0.008652699;0.378492604;0
ID118;0.460950292;0.000139022;0.000139022;0.684113317;0.111449226;0
ID119;0.79537882;0.289547938;0.36798343;2.498175518;3.067869364;0
ID120;0.95377711;0.029921769;0.058974784;0.185178478;2.223579436;0
ID121;0.827795724;0.100954593;0.129802911;6.657735283;1.436172916;0
ID122;0.865210676;0.107856051;0.139501572;0.936616365;2.382720224;0
ID123;0.163231045;-0.168173883;-0.194571346;-0.387796588;0.16180034;0
ID124;0.972901286;0.133676299;0.129848004;0.156336189;0.754494739;0
ID125;0.798435471;0.310957888;0.311730876;0.312022069;0.359207841;0
ID126;0.440793029;0.072228078;0.090444667;2.049768795;1.836696314;0
ID127;0.649370218;0.07451951;0.105824025;5.663196375;2.079970369;0
ID128;0.714549052;-0.03035069;-0.036303575;0.443322539;0.489297774;0
ID129;0.926820302;0.019699937;0.025526782;0.521979297;1.158785961;0
ID130;0.260868433;-0.357842286;-0.437688809;-0.169920088;1.081817077;0
ID131;0.906042778;0.001524719;0.00746537;0.475152775;1.502826484;0
ID132;0.657656371;0.010165852;0.015414401;0.26609591;1.34660986;0
ID133;0.889727525;0.004506032;0.002717378;1.418216386;2.184015135;0
ID134;0.780852271;0.077455411;0.124369638;1.220783943;3.130100203;0
ID135;0.05790759;0.022068097;0.027772894;0.348247029;0.20434155;0
ID136;0.811462;0.16111178;0.201686296;17.84001601;0.323218624;0
ID137;0.803507143;0.014544329;0.028119037;1.668235488;1.419650317;0
ID138;0.717215428;0.025197192;0.03726753;0.735183325;0.867805196;0
ID139;0.912475916;-0.046674533;-0.045823189;12.76217883;0.707496303;0
ID140;0.7536972;0.196589245;0.249633815;0.650453629;1.50011028;0
ID141;0.758921551;0.021219988;0.029794155;0.485190014;1.30231481;0
ID142;0.599514699;0.151952946;0.188451174;2.506469573;1.840532713;0
ID143;0.745126693;0.132647026;0.161508485;1.259603951;2.325574315;0
ID144;0.405983516;0.074071431;0.081046848;0.987307665;1.816230777;0
ID145;0.677491645;0.00364655;0.021083153;0.564099805;1.853135443;0
ID146;0.234521788;0.047311828;0.060720619;57.43253968;0.461135635;0
ID147;0.367518837;-0.162744186;-0.162744186;-0.532347348;0.011716083;0
ID148;0.777328677;0.059272868;0.074352724;14.82228448;1.514131529;0
ID149;0.768428565;-0.033348134;-0.037691542;1.523308757;1.149629283;0
ID150;0.687554151;-0.024257375;-0.024257375;0.023179865;0.192842425;0
ID151;0.476053517;-0.057039398;-0.029407702;0.78036784;0.746558988;0
ID152;0.14257238;-2.166287046;-1.906220952;-0.74558484;0.034955828;0
ID153;0.854552196;-0.007175148;0.000533979;0.173356101;0.669852293;0
ID154;0.613753002;0.001108068;0.000574554;0.411272672;2.483759137;0
ID155;0.750239267;0.066825863;0.087304774;0.799922264;1.327293578;0
ID156;0.859835153;0.003942002;0.010463925;0.268517977;4.075631114;0
ID157;0.815805425;0.019971355;0.02141972;-0.356539298;0.373225081;0
ID158;0.556972161;0.06173999;0.09196176;0.715510162;1.396000807;0
ID159;0.734586825;-8.994547754;-8.114354465;-0.915309961;1.043022552;0
ID160;0.705948482;0.114278638;0.164891357;2.480840095;1.99242691;0
ID161;0.64890216;0.055750764;0.071526922;0.383911146;3.967769946;0
ID162;0.726150933;0.07207822;0.091735156;0.940660967;1.431032637;0
ID163;0.206131434;0.000228885;0.002948582;0.322430739;0.176403269;0
ID164;0.780153388;0.029387623;0.040162836;0.122712078;0.809812476;0
ID165;0.666518467;0.004078085;0.006121018;0.038207799;0.316955786;0
ID166;0.800360859;0.005597516;0.005715005;0.195437354;1.36098523;0
ID167;0.630861234;0.038517811;0.038600854;0.246204962;2.216659546;0
ID168;0.456175207;3.70494E-05;0.000101886;0.003826038;0.006664258;0
ID169;0.565144732;0.022056002;0.022056002;0.084601512;1.373906515;0
ID170;0.783070952;0.001386936;0.001386936;0.010628741;0.782622688;0
ID171;0.089064536;0.005619398;0.002012483;12.12633997;0.119951778;0
ID172;0.781208262;0.000132817;0.004341997;0.021306698;0.5016869;0
ID173;0.888972065;-0.018042919;0.00056944;1.352337377;1.931744021;0
